freq,real,imag
75.0015750330757,121781.49655814028,-171033.77004756773
150.0031500661514,74186.17011322585,-82241.58338877847
175.00367507717664,71224.12126657307,-80011.00044127968
250.00525011025232,64494.46833389342,-64720.249884214354
60901.27892685746,15809.540825273796,-6138.189073980197
60976.28050189054,16243.829562040799,-5144.972147910949
61001.28102690157,15729.59428493418,-4922.106112818236
61076.28260193464,14992.924070447827,-5395.875805925259
61101.283126945666,15000.50937954487,-5667.4803052620655
61126.28365195669,14848.9618171361,-6037.9050564839345
61176.284701978744,15237.402650421667,-5323.235004884343
61201.28522698977,15153.36779696586,-5425.4699286945015
61226.2857520008,14716.524074640882,-5670.92795016541
61276.28680202284,14925.879129782932,-6258.4000605212705
61301.28732703387,15354.502957204906,-5899.516592543458
61401.28942707797,15414.708468825487,-5597.620855777533
